,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,emoji_count
0,1590818854673842176,1590818854673842176,2022-11-11 05:29:05 Malay Peninsula Standard Time,2022-11-11,05:29:05,800,891360362326622211,shreyasome,Dr. Shreya Some,,how cities are related to climatechange to know join us tomorrow at cop details below https t co wa nf tsds,en,[],[],['https://pbs.twimg.com/media/FhO5URgWICMewih.jpg'],0,0,1,"('', 0)",[],https://twitter.com/ShreyaSome/status/1590818854673842176,False,https://twitter.com/iihsin/status/1590589306128969728,1,https://pbs.twimg.com/media/FhO5URgWICMewih.jpg,,"16.16667,107.83333,500km",,,,,[],,,,,0
1,1590690740278988800,1590690740278988800,2022-11-10 21:00:00 Malay Peninsula Standard Time,2022-11-10,21:00:00,800,625378438,iomasiapacific,IOM Asia-Pacific,,as climatechange continues to affect our habitats more and more people are forced to leave their homelands making cross border displacement a topic of growing emergence in light of cop iom pledges to develop a safer amp more secure framework for climate induced migration https t co sx z pcfsz,en,[],[],['https://pbs.twimg.com/media/FhK8wPnVUAES7_o.png'],6,4,6,"('', 0)",[],https://twitter.com/IOMAsiaPacific/status/1590690740278988800,False,,1,https://pbs.twimg.com/media/FhK8wPnVUAES7_o.png,,"16.16667,107.83333,500km",,,,,[],,,,,0
2,1590672073806221312,1590672073806221312,2022-11-10 19:45:50 Malay Peninsula Standard Time,2022-11-10,19:45:50,800,1383716417275523080,asianpeace_org,Asian Peace Research,,rich countries fail to keep climate finance promise pm hasina https t co jm kwcpq bangladesh climatecrisis climatechange hasina https t co w umhkcixb,en,[],['https://www.asianpeace.org/post/rich-countries-fail-to-keep-climate-finance-promise-pm-hasina'],['https://pbs.twimg.com/media/FhMzqsUaEAEZx3d.jpg'],0,0,0,"('', 0)",[],https://twitter.com/asianpeace_org/status/1590672073806221312,False,,1,https://pbs.twimg.com/media/FhMzqsUaEAEZx3d.jpg,,"16.16667,107.83333,500km",,,,,[],,,,,0
3,1590663425608536065,1590663425608536065,2022-11-10 19:11:28 Malay Peninsula Standard Time,2022-11-10,19:11:28,800,1590032773792010240,alphaomegaenrg,AlphaOmegaEnergy,,from lying about climatechange amp offering rewards for million for this man s arrest to just weeks later kissing his big oil a at cop that copout meeting where the breakthrough innovators are never funded to attend corruption to the core climate energycrisis nwo,en,[],[],[],0,0,0,"('', 0)",[],https://twitter.com/AlphaOmegaEnrg/status/1590663425608536065,False,https://twitter.com/thatdayin1992/status/1590344537867972611,0,,,"16.16667,107.83333,500km",,,,,[],,,,,0
4,1590655660936814593,1590655660936814593,2022-11-10 18:40:37 Malay Peninsula Standard Time,2022-11-10,18:40:37,800,367622019,dazzlelabapis,Dazzle Labapis,,join our side event at cop where our indigenouspeoples and cso partners will be delivering key messages from the recently released api api declaration and recommendations as we outline the challenges and threats climatechange poses to territories of life communitiesspeak,en,[],[],[],0,0,2,"('', 0)",[],https://twitter.com/dazzlelabapis/status/1590655660936814593,False,https://twitter.com/ntfp_ep/status/1590645365728227328,0,,,"16.16667,107.83333,500km",,,,,[],,,,,0
5,1590645365728227328,1590645365728227328,2022-11-10 17:59:42 Malay Peninsula Standard Time,2022-11-10,17:59:42,800,313180874,ntfp_ep,NTFP-EP Asia,,join our side event at cop where our iplc and cso partners will be delivering key messages from the recently released api api declaration and recommendations as we outline the challenges and threats climatechange poses to territories of life link https t co twsachgwed https t co mvro vvk p,en,[],['http://bit.ly/iplcvoices'],['https://pbs.twimg.com/media/FhMbAIwUUAAxxcv.jpg'],0,0,1,"('', 0)",[],https://twitter.com/ntfp_ep/status/1590645365728227328,False,,1,https://pbs.twimg.com/media/FhMbAIwUUAAxxcv.jpg,,"16.16667,107.83333,500km",,,,,[],,,,,0
6,1590615500119486464,1590615500119486464,2022-11-10 16:01:02 Malay Peninsula Standard Time,2022-11-10,16:01:02,800,1316654539521490944,sei_asia,SEI Asia,,young people are valuable contributors to climate action in collaboration with the hanns seidel foundation indonesia sei asia hosted a study visit for youth activists on drivers for youth participation in climatechange governance and presented https t co nyduqaedtt,en,"['jaeenikam', 'wanaporny']",[],"['https://pbs.twimg.com/media/FhMAXSLWYAUm1ZS.jpg', 'https://pbs.twimg.com/media/FhMAXSLWIAEsloN.jpg', 'https://pbs.twimg.com/media/FhMAXSMX0AAO9Ca.jpg', 'https://pbs.twimg.com/media/FhMAXSdXkAAME-1.jpg']",0,1,3,"('', 0)",[],https://twitter.com/SEI_Asia/status/1590615500119486464,False,,1,https://pbs.twimg.com/media/FhMAXSLWYAUm1ZS.jpg,,"16.16667,107.83333,500km",,,,,[],,,,,0
7,1590610746635059201,1590610746635059201,2022-11-10 15:42:08 Malay Peninsula Standard Time,2022-11-10,15:42:08,800,60399116,eaglechirp,kicki carlson,,protecting old growth forests is one of the best things we can do to mitigate the impacts of climatechange sign the petition to protect the last giant trees from logging bcpoli https t co ajezrcbzxe,en,['standearth'],['https://act.stand.earth/page/30571/petition/1?locale=en-US&en_chan=tw&ea.tracking.id=tw-share&utm_medium=social&utm_source=twitter&utm_content=CANA-EG-PET-FORESTS-PRIM-Old%20growth%20petition%20celeb%20video%20version'],[],0,0,0,"('', 0)",[],https://twitter.com/eaglechirp/status/1590610746635059201,False,,0,,,"16.16667,107.83333,500km",,,,,[],,,,,0
8,1590571200639426560,1590324654149107713,2022-11-10 13:05:00 Malay Peninsula Standard Time,2022-11-10,13:05:00,800,3794682452,whowpro,World Health Organization (WHO) Western Pacific,,women are more at risk of undernutrition and diarrhoeal diseases as a result of extreme weather events brought on by climatechange cop https t co waiycg wnb,en,[],[],['https://pbs.twimg.com/media/FhH8kdwagAEbH7c.jpg'],0,1,7,"('', 0)",[],https://twitter.com/WHOWPRO/status/1590571200639426560,False,,1,https://pbs.twimg.com/media/FhH8kdwagAEbH7c.jpg,,"16.16667,107.83333,500km",,,,,[],,,,,0
9,1590551384646389762,1590551384646389762,2022-11-10 11:46:15 Malay Peninsula Standard Time,2022-11-10,11:46:15,800,1393117808687415298,netzerotechup,Net Zero Techup,,thailand s commitment of net zero emission in cop source https t co e hisw xnq netzerotechup climatechange https t co n vxlsnxhn,en,[],['https://lnkd.in/gf7M4jU5'],['https://pbs.twimg.com/media/FhLGDM2agAAL2M5.jpg'],0,0,1,"('', 0)",[],https://twitter.com/NetZeroTechup/status/1590551384646389762,False,,1,https://pbs.twimg.com/media/FhLGDM2agAAL2M5.jpg,,"16.16667,107.83333,500km",,,,,[],,,,,0
